Redshift r_mag g-r_col g-r_slope z_mag r-z_col r-z_slope
0.0506 15.08136846 0.8525184288000001 -0.030591372000000002 -10.0 -10.0 -10.0
0.0507 15.08536587 0.8526748886 -0.030603034 -10.0 -10.0 -10.0
0.0508 15.08936328 0.8528313484 -0.030614696 -10.0 -10.0 -10.0
0.0509 15.09336069 0.8529878082 -0.030626358 -10.0 -10.0 -10.0
0.051 15.097358100000001 0.853144268 -0.030638020000000002 -10.0 -10.0 -10.0
0.0511 15.101355510000001 0.8533007278 -0.030649682 -10.0 -10.0 -10.0
0.0512 15.105352920000001 0.8534571876 -0.030661344 -10.0 -10.0 -10.0
0.0513 15.10935033 0.8536136474 -0.030673006000000003 -10.0 -10.0 -10.0
0.0514 15.11334774 0.8537701072 -0.030684668000000002 -10.0 -10.0 -10.0
0.0515 15.11734515 0.853926567 -0.03069633 -10.0 -10.0 -10.0
0.0516 15.12134256 0.8540830268 -0.030707992 -10.0 -10.0 -10.0
0.0517 15.12533997 0.8542394866 -0.030719654000000002 -10.0 -10.0 -10.0
0.0518 15.12933738 0.8543959464 -0.030731316 -10.0 -10.0 -10.0
0.0519 15.133334790000001 0.8545524062 -0.030742978 -10.0 -10.0 -10.0
0.052 15.137332200000001 0.854708866 -0.03075464 -10.0 -10.0 -10.0
0.0521 15.14132961 0.8548653258 -0.030766302000000002 -10.0 -10.0 -10.0
0.0522 15.14532702 0.8550217856 -0.030777964 -10.0 -10.0 -10.0
0.0523 15.14932443 0.8551782454 -0.030789626 -10.0 -10.0 -10.0
0.0524 15.15332184 0.8553347052 -0.030801288 -10.0 -10.0 -10.0
0.0525 15.15731925 0.855491165 -0.030812950000000002 -10.0 -10.0 -10.0
0.0526 15.16131666 0.8556476248 -0.030824612 -10.0 -10.0 -10.0
0.0527 15.16531407 0.8558040846 -0.030836274 -10.0 -10.0 -10.0
0.0528 15.169311480000001 0.8559605444 -0.030847936000000003 -10.0 -10.0 -10.0
0.0529 15.173308890000001 0.8561170042 -0.030859598000000002 -10.0 -10.0 -10.0
0.053 15.1773063 0.856273464 -0.03087126 -10.0 -10.0 -10.0
0.0531 15.18130371 0.8564299238 -0.030882922 -10.0 -10.0 -10.0
0.0532 15.18530112 0.8565863836 -0.030894584000000003 -10.0 -10.0 -10.0
0.0533 15.18929853 0.8567428434 -0.030906246000000002 -10.0 -10.0 -10.0
0.0534 15.19329594 0.8568993032 -0.030917908 -10.0 -10.0 -10.0
0.0535 15.19729335 0.857055763 -0.03092957 -10.0 -10.0 -10.0
